"","FECHAPROCESO","TIPOTX","CANAL","valtransaccion","transacciones","consistentes","conciliado","peso_val","peso_trans"
"81","2022-09-27","ReciboDineroTransfiya","TRANSFIYA",229652.173913043,69,66,95.6521739130435,0.004898574826012,0.00648406658102687
"82","2022-09-28","DevolucionDineroTransfiya","TRANSFIYA",147450,28,26,92.8571428571429,0.00314516882548197,0.00263121542418482
"83","2022-09-28","EnvioDineroTransfiya","TRANSFIYA",172159.141826923,416,350,84.1346153846154,0.00367222492977801,0.0390923434450316
"84","2022-09-28","ReciboDineroTransfiya","TRANSFIYA",180590.420454545,88,80,90.9090909090909,0.00385206755235211,0.00826953419029514
"85","2022-09-29","DevolucionDineroTransfiya","TRANSFIYA",96996.9655172414,29,28,96.551724137931,0.00206898495836675,0.00272518740361999
"86","2022-09-29","EnvioDineroTransfiya","TRANSFIYA",175101.693045564,417,351,84.1726618705036,0.0037349907511429,0.0391863154244667
"87","2022-09-29","ReciboDineroTransfiya","TRANSFIYA",212691.385416667,96,90,93.75,0.0045367942683016,0.00902131002577651
"88","2022-09-30","DevolucionDineroTransfiya","TRANSFIYA",45433.3333333333,21,20,95.2380952380952,0.000969111587912723,0.00197341156813861
"89","2022-09-30","EnvioDineroTransfiya","TRANSFIYA",177730.866828087,413,354,85.7142857142857,0.00379107210358486,0.038810427506726
"90","2022-09-30","ReciboDineroTransfiya","TRANSFIYA",192939.159090909,88,81,92.0454545454545,0.0041154711996435,0.00826953419029514
"91","2022-09-01","CreditosEnviados","ACH",2725897.73759677,5813,4559,78.4276621365904,0.0581445139758643,0.546259116456655
"92","2022-09-01","CreditosRecibidos","ACH",2469069.70610837,10741,10738,99.9720696396983,0.0526662669894471,1.00935303111318
"93","2022-09-01","DebitosEnviados","ACH",159278.335311573,337,324,96.1424332344214,0.00339747205694556,0.031668557069653
"94","2022-09-01","DebitosRecibidos","ACH",217139.374104628,1491,1489,99.8658618376928,0.00463167168679921,0.140112221337841
"95","2022-09-01","DevolucionesCreditosEnviados","ACH",2509165.91375,160,154,96.25,0.0535215355028043,0.0150355167096275
"96","2022-09-01","DevolucionesCreditosRecibidos","ACH",1391460.02331878,229,229,100,0.0296804115784784,0.0215195832906544
"97","2022-09-01","DevolucionesDebitosEnviados","ACH",259122.465172031,901,894,99.2230854605993,0.00552718819559926,0.08466875347109
"98","2022-09-01","DevolucionesDebitosRecibidos","ACH",157515.479452055,219,197,89.9543378995434,0.00335986962023363,0.0205798634963027
"99","2022-09-01","PagosDIANEnviados","PSE",3521189.65517241,174,149,85.632183908046,0.0751084159515625,0.0163511244217199
